;IMP_display_hienz_budget;IMP_olv_hienz_budget;IMP_agents_budget;IMP_social_hienz_budget;TV_hienz_grp;TV_sponsor_hienz_grp;Investment;IMP_display_hienz_budget_ROAS;IMP_olv_hienz_budget_ROAS;IMP_agents_budget_ROAS;IMP_social_hienz_budget_ROAS;TV_hienz_grp_ROAS;TV_sponsor_hienz_grp_ROAS
335;591.5529712;843.9861538;650.7082683;611.2714036;911.0071076;710.33427;335000000;-39.22351441;86.99307688;-9.645865846;-29.36429822;120.5035538;20.16713502
336;591.8736576;844.6592922;651.0610234;611.6027796;913.0827782;710.5845872;336000000;-40.06317118;86.3296461;-10.4694883;-30.19861022;120.5413891;19.2922936
337;592.1916828;845.327958;651.4108511;611.9314056;915.1552509;710.8323874;337000000;-40.9041586;85.66397899;-11.29457446;-31.03429722;120.5776254;18.41619369
338;592.5070688;845.9921808;651.7577756;612.2573044;917.2245304;711.0776959;338000000;-41.74646562;84.9960904;-12.12111218;-31.87134781;120.6122652;17.53884793
339;592.8198374;846.6519902;652.1018212;612.5804987;919.2906217;711.3205377;339000000;-42.59008129;84.3259951;-12.94908942;-32.70975066;120.6453108;16.66026887
340;593.1300105;847.3074155;652.4430116;612.9010109;921.3535297;711.5609378;340000000;-43.43499474;83.65370776;-13.77849422;-33.54949456;120.6767648;15.78046889
341;593.4376096;847.9584859;652.7813705;613.2188632;923.4132593;711.7989205;341000000;-44.28119521;82.97924293;-14.60931473;-34.39056839;120.7066296;14.89946027
342;593.742656;848.6052302;653.1169216;613.5340778;925.4698154;712.0345104;342000000;-45.12867202;82.30261508;-15.44153922;-35.23296109;120.7349077;14.01725518
343;594.0451708;849.2476772;653.4496879;613.8466765;927.5232029;712.2677313;343000000;-45.97741458;81.62383859;-16.27515603;-36.07666173;120.7616014;13.13386563
344;594.3451753;849.8858555;653.7796928;614.1566811;929.5734266;712.4986071;344000000;-46.82741237;80.94292773;-17.11015361;-36.92165945;120.7867133;12.24930354
345;594.64269;850.5197934;654.106959;614.464113;931.6204915;712.7271614;345000000;-47.67865499;80.25989668;-17.94652049;-37.76794349;120.8102458;11.36358069
346;594.9377358;851.1495191;654.4315094;614.7689936;933.6644025;712.9534175;346000000;-48.53113211;79.57475954;-18.78424532;-38.61550318;120.8322012;10.47670877
347;595.2303331;851.7750606;654.7533664;615.0713442;935.7051643;713.1773986;347000000;-49.38483347;78.88753029;-19.62331682;-39.46432792;120.8525821;9.588699324
348;595.5205022;852.3964457;655.0725524;615.3711856;937.7427818;713.3991276;348000000;-50.23974892;78.19822284;-20.46372381;-40.31440722;120.8713909;8.699563788
349;595.8082632;853.013702;655.3890895;615.6685387;939.7772599;713.618627;349000000;-51.09586839;77.506851;-21.30545523;-41.16573067;120.88863;7.809313487
350;596.0936362;853.6268569;655.7029999;615.9634241;941.8086034;713.8359193;350000000;-51.95318188;76.81342847;-22.14850007;-42.01828794;120.9043017;6.917959631
351;596.376641;854.2359378;656.0143051;616.2558624;943.8368172;714.0510266;351000000;-52.81167948;76.1179689;-22.99284743;-42.8720688;120.9184086;6.025513316
352;596.6572973;854.8409716;656.323027;616.5458738;945.861906;714.2639711;352000000;-53.67135137;75.4204858;-23.83848651;-43.72706308;120.930953;5.131985526
353;596.9356244;855.4419853;656.6291868;616.8334785;947.8838746;714.4747743;353000000;-54.53218781;74.72099264;-24.68540659;-44.58326073;120.9419373;4.237387137
354;597.2116418;856.0390055;656.9328059;617.1186965;949.902728;714.6834578;354000000;-55.39417912;74.01950276;-25.53359703;-45.44065175;120.951364;3.341728913
355;597.4853686;856.6320589;657.2339054;617.4015475;951.9184708;714.890043;355000000;-56.25731572;73.31602943;-26.38304729;-46.29922624;120.9592354;2.445021512
356;597.7568238;857.2211717;657.5325062;617.6820512;953.931108;715.094551;356000000;-57.12158811;72.61058583;-27.23374692;-47.15897438;120.965554;1.547275482
357;598.0260263;857.8063701;657.8286289;617.9602271;955.9406441;715.2970025;357000000;-57.98698687;71.90318506;-28.08568555;-48.01988643;120.9703221;0.648501268
358;598.2929947;858.3876802;658.1222942;618.2360945;957.9470842;715.4974184;358000000;-58.85350264;71.19384011;-28.9388529;-48.88195273;120.9735421;-0.251290791
359;598.5577477;858.9651278;658.4135224;618.5096726;959.9504328;715.6958191;359000000;-59.72112616;70.4825639;-29.79323878;-49.7451637;120.9752164;-1.152090462
360;598.8203035;859.5387385;658.7023339;618.7809803;961.9506948;715.8922248;360000000;-60.58984823;69.76936927;-30.64883306;-50.60950984;120.9753474;-2.053887613
361;599.0806805;860.1085379;658.9887486;619.0500365;963.9478749;716.0866556;361000000;-61.45965974;69.05426896;-31.50562572;-51.47498173;120.9739374;-2.956672213
362;599.3388967;860.6745513;659.2727864;619.3168599;965.9419779;716.2791313;362000000;-62.33055165;68.33727564;-32.36360681;-52.34157004;120.9709889;-3.860434333
363;599.59497;861.2368038;659.554467;619.581469;967.9330085;716.4696717;363000000;-63.20251499;67.61840189;-33.22276648;-53.20926548;120.9665042;-4.765164145
364;599.8489183;861.7953204;659.8338101;619.8438822;969.9209714;716.6582962;364000000;-64.07554086;66.89766019;-34.08309495;-54.07805889;120.9604857;-5.670851919
365;600.1007591;862.3501259;660.110835;620.1041177;971.9058714;716.845024;365000000;-64.94962046;66.17506296;-34.9445825;-54.94794114;120.9529357;-6.57748802
366;600.3505099;862.9012451;660.3855609;620.3621936;973.8877133;717.0298742;366000000;-65.82474503;65.45062253;-35.80721953;-55.8189032;120.9438566;-7.485062915
367;600.5981882;863.4487023;660.658007;620.6181278;975.8665016;717.2128657;367000000;-66.70090591;64.72435115;-36.6709965;-56.6909361;120.9332508;-8.393567163
